time,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
0,1.723685360002972,1.810115609388804,3.920647545373276,1.515827124089453,6.72099779860083,1.031084116462485,9.427388866422715,1.384257526556921,12.86694347657046,1.432716820981518,1.317332280989108,4.264298965584111,4.231799211653383,4.100487409674566,7.061225776794066,4.012118191998605,10.05121535286323,4.542883628881174,12.99250342814592,4.015420159541041,1.506423521695039,7.400927751955711,3.929161726206699,7.054945943091877,7.114344631232418,7.258698920754987,10.17624201799245,6.965612274332523,12.85450446332835,6.69845435990007,1.701676871603864,10.21091420169096,4.407348912701149,9.576709107976777,7.182187063546386,10.05362993750106,9.426417454024833,9.450858114530845,12.87346037335112,10.03256284762984,1.131105179712819,12.89464213542395,4.313217844768235,12.45772853494951,7.108150401491045,12.64758443843508,9.646405626613216,12.74594263674856,12.8702122364267,12.21951010489208
0.004,1.727274664994211,1.81011230240181,3.923656618020392,1.515798626588285,6.723086135933503,1.031048196811396,9.430118147473097,1.384251183047152,12.86980907772304,1.432864758533465,1.325847663494806,4.264385958094861,4.239963765514799,4.100399136014922,7.069266019369076,4.012035377944977,10.06027831241776,4.542840582707625,13.00058743741718,4.015515273655336,1.521189611202907,7.40098697647038,3.943317578137389,7.054918393917876,7.128895943955166,7.258615523175045,10.19020977689634,6.965536531667317,12.86794749049232,6.69856237009823,1.722062870108665,10.21092968601381,4.426555409103398,9.576621552492391,7.202260327343979,10.05353751494253,9.445389037559917,9.450839134195597,12.89352368167878,10.03268614424747,1.156816252371895,12.89475916219502,4.338139299894657,12.45767100567376,7.13343944243972,12.64748432927136,9.671857349510951,12.74587317031215,12.89466021482592,12.21965674859315
0.008,1.730863979954294,1.810109004511917,3.926665644902478,1.515770204274699,6.725174381057578,1.031012039172139,9.432847340272966,1.384244733950412,12.87267509535759,1.433012958327896,1.334363341243241,4.26447278445023,4.248128120808226,4.100310950827093,7.077306012980277,4.011952517778332,10.06934097247143,4.54279767128423,13.00867175293346,4.015610397915875,1.535955891594341,7.40104599845712,3.957473418642552,7.05489080876441,7.14344694718077,7.258532266473829,10.20417721571719,6.965460707192283,12.88139088929314,6.698670375107934,1.742448904899709,10.21094498884299,4.445761584120106,9.576534115425304,7.222333371166209,10.05344532728809,9.464360530328197,9.450820119751052,12.91358752007302,10.03280948979388,1.182527579264716,12.89487619435553,4.363060445335598,12.45761355791826,7.158728301985359,12.64738414300859,9.697308969757426,12.74580368842066,12.91910860490653,12.21980340064008
0.012,1.734453305660979,1.810105715763289,3.929674627351939,1.515741856736885,6.72726253393458,1.030975643995437,9.435576445003104,1.384238180094151,12.875541530141,1.433161417229308,1.342879313478762,4.264559441798498,4.256292278229736,4.100222855074297,7.085345757712836,4.01186961336218,10.07840333361731,4.542754898652393,13.01675637363399,4.015705529617886,1.55072236272455,7.401104816158232,3.971629247559997,7.054863187046708,7.157997640678298,7.258449153537387,10.21814433264388,6.965384804656051,12.89483465925846,6.6987783708102,1.762834975833867,10.21096010953291,4.464967437160971,9.576446799888334,7.242406195321283,10.05335337745039,9.483331931357016,9.450801071577986,12.93365188881297,10.03293287973898,1.208239160147462,12.89499322869716,4.387981280752397,12.45755619498426,7.184016980924453,12.64728388136605,9.722760488406449,12.7457341921729,12.94355740691255,12.2199500579499
0.016,1.73804264288695,1.810102436196242,3.932683566690077,1.515713583550792,6.729350594518805,1.030939011735759,9.438305461840741,1.384231522306178,12.87840838271883,1.433310132104139,1.351395579436616,4.264645927292142,4.264456238486715,4.100134849710536,7.093385253668853,4.011786666560164,10.08746539647679,4.542712268849439,13.0248412984443,4.015800666067194,1.565489024446899,7.401163427808638,3.985785064724137,7.054835528181367,7.172548024230448,7.258366187255926,10.23211112589562,6.965308827821983,12.90827879990211,6.698886353084064,1.783221082771138,10.21097504743394,4.484172967658076,9.576359609005166,7.262478800134748,10.05326166834718,9.502303239667755,9.450781990056287,12.95371678815851,10.03305630954335,1.233950994740043,12.89511026202026,4.412901805817747,12.45749892018322,7.209305480063301,12.6471835460568,9.748211906514221,12.74566468265889,12.96800662107464,12.22009671743022
0.02,1.741631992399673,1.810099165847425,3.935692464226928,1.515685384280186,6.731438562757234,1.030902142851237,9.441034390959503,1.384224761414561,12.88127565371516,1.433459099821035,1.359912138343035,4.264732238088012,4.272620002297828,4.100046935680486,7.10142450096733,4.011703679235772,10.09652716169958,4.542669785908166,13.03292652627624,4.01589580458053,1.580255876612939,7.401221831636052,3.999940869966077,7.054807831586494,7.18709809763369,7.258283370523603,10.24607759372217,6.965232780467681,12.92172331072431,6.698994317806841,1.803607225574691,10.21098980189258,4.503378175066025,9.576272545910181,7.282551185949592,10.05317020290106,9.521274454275902,9.450762875564855,12.97378221835048,10.03317977465843,1.259663082726011,12.89522729113438,4.437822020215693,12.45744173683672,7.234593800217905,12.64708313878741,9.773663225139183,12.74559516095971,12.99245624760985,12.22024337597947
0.024,1.745221354961269,1.810095904749995,3.938701321261101,1.515657258476733,6.733526438589435,1.030865037803586,9.443763232529344,1.38421789824752,12.88414334373249,1.433608317251136,1.368428989415316,4.264818371347528,4.280783570392998,4.099959113919386,7.109463499744147,4.011620653252039,10.10558862996371,4.54262745385639,13.04101205602811,4.015990942485847,1.595022919072445,7.401280025861144,4.014096663113694,7.054780096681842,7.201647860698412,7.258200706238329,10.2600437344039,6.965156666384506,12.93516819121183,6.699102260854393,1.823993404110904,10.21100437225157,4.522583058862065,9.576185613748262,7.302623353126342,10.05307898403919,9.540245574191122,9.450743728481521,12.99384817961085,10.03330327052685,1.285375423752473,12.8953443128589,4.462741923641635,12.45738464827629,7.25988194221387,12.6469826612577,9.799114445341848,12.74552562814728,13.01690628672132,12.22039003048708
0.028,1.748810731328378,1.810092652933805,3.941710139079609,1.51562920568006,6.73561422194747,1.030827697058019,9.44649198671649,1.384210933633319,12.88701145335164,1.433757781268342,1.376946131861905,4.264904324236855,4.288946943513366,4.099871385352934,7.117502250152024,4.011537590471256,10.11464980197544,4.5425852767165,13.04909788658471,4.016086077122629,1.60979015167344,7.401338008697706,4.028252443991723,7.054752322888946,7.216197313249055,7.258118197301567,10.27400954625205,6.965080489377089,12.94861344083813,6.69921017810139,1.844379618249405,10.21101875785011,4.541787618546221,9.576098815674625,7.32269530204317,10.05298801469299,9.559216598417331,9.450724549182947,13.013914672143,10.03342679258263,1.311088017430013,12.89546132402355,4.487661515802334,12.45732765784334,7.285169906886297,12.64688211516045,9.824565568184651,12.74545608528412,13.04135673859799,12.22053667783362
0.032,1.752400122252033,1.810089410425575,3.944718918957717,1.515601225417834,6.737701912755806,1.030790121083172,9.449220653683374,1.384203868400161,12.88987998313157,1.433907488749599,1.38546356488248,4.264990093927088,4.297110122411262,4.099783750897176,7.125540752360487,4.011454492754683,10.12371067846921,4.542543258505008,13.05718401681741,4.016181205842202,1.624557574262228,7.401395778352817,4.042408212421845,7.054724509631263,7.230746455124251,7.258035846618129,10.28797502760876,6.965004253262841,12.96205905906359,6.699318065421571,1.864765867863114,10.21103295802398,4.560991853641411,9.576012154854624,7.342767033095987,10.05289729779788,9.578187525952776,9.450705338044537,13.03398169613192,10.03355033625148,1.336800863332625,12.89557832146902,4.512580796415907,12.45727076888898,7.310457695079678,12.64678150218113,9.850016594731784,12.74538653342318,13.06580760341432,12.22068331489108
0.036,1.755989528477532,1.810086177249085,3.947727662158781,1.515573317205829,6.739789510931223,1.030752310351019,9.451949233588582,1.384196703376084,12.89274893360933,1.43405743657517,1.39398128766804,4.265075677594436,4.305273107850165,4.099696211458398,7.133579006555822,4.01137136196225,10.13277126020764,4.542501403232102,13.06527044558427,4.016276326008043,1.639325186683432,7.401453333027014,4.056563968222772,7.054696656334309,7.245295286176956,7.257953657095976,10.3019401768473,6.964927961871474,12.97550504533564,6.699425918687997,1.885152152828281,10.21104697210576,4.580195763693578,9.575925634463569,7.362838546698548,10.05280683629303,9.5971583557901,9.45068609544035,13.05404925174442,10.03367389695103,1.36251396099765,12.89569530204755,4.537499765211835,12.45721398477393,7.335745307647787,12.64668082399761,9.875467526049045,12.74531697360766,13.09025888133004,12.22082993852298
