r,count_per_sample
3.945,0.61
3.955,0.6125
3.965,0.585
3.975,0.5975
3.985,0.575
3.995,0.6025
4.005,0.5675
4.015,0.58
4.025,0.58
4.035,0.5600000000000001
4.045,0.555
4.055,0.5325
4.065,0.5325
4.075,0.5325
4.085,0.525
4.095,0.5275
4.105,0.535
4.115,0.5125
4.125,0.5425
4.135,0.535
4.145,0.5175
4.155,0.5225
4.165,0.5425
4.175,0.5375
4.185,0.515
4.195,0.5375
4.205,0.5275
4.215,0.53
4.225,0.5325
4.235,0.525
4.245,0.5425
4.255,0.535
4.265,0.55
4.275,0.5375
4.285,0.53
4.295,0.5575
4.305,0.55
4.315,0.54
4.325,0.555
4.335,0.5475
4.345,0.555
4.355,0.5525
4.365,0.5525
4.375,0.55
4.385,0.5675
4.395,0.7425
4.405,0.78
4.415,0.7025
4.425,0.6175
4.435,0.57
4.445,0.6025
4.455,0.6
4.465,0.6125
4.475000000000001,0.6125
4.485,0.595
4.495,0.5975
4.505,0.6075
4.515,0.5925
4.525,0.6
4.535,0.5875
4.545,0.5825
4.555,0.6274999999999999
4.565,0.6125
4.575,0.62
4.585,0.6375
4.595,0.625
4.605,0.62
4.615,0.6225000000000001
4.625,0.6274999999999999
4.635,0.6175
4.645,0.6225000000000001
4.655,0.6175
4.665,0.615
4.675,0.625
4.685,0.6475
4.695,0.625
4.705,0.635
4.715,0.6425
4.725000000000001,0.6225000000000001
4.735,0.6375
4.745,0.6225000000000001
4.755,0.63
4.765,0.605
4.775,0.62
4.785,0.615
4.795,0.605
4.805,0.6225000000000001
4.815,0.6025
4.825,0.62
4.835,0.6025
4.845,0.6175
4.855,0.775
4.865,0.825
4.875,0.9275
4.885,1.0325
4.895,1.015
4.905,0.85
4.915,0.84
4.925,0.85
4.935,0.8100000000000001
4.945,0.83
4.955,0.835
4.965,0.8825
4.975000000000001,0.85
4.985,0.8325
4.995,0.9350000000000001
5.005,0.9325
5.015,0.9
5.025,0.9575
5.035,0.96
5.045,1.005
5.055,1.095
5.065,0.98
5.075,1.1575
5.085,1.03
5.095,0.8475
5.105,0.8625
5.115,0.845
5.125,0.855
5.135,0.8275
5.145,0.9475
5.155,0.95
5.165,0.9725
5.175,0.93
5.185,0.8925
5.195,0.925
5.205,1.1025
5.215,1.095
5.225000000000001,1.04
5.235,1.0675
5.245,1.61
5.255,1.43
5.265,1.6975
5.275,1.0725
5.285,1.3375
5.295,1.275
5.305,1.2825
5.315,1.305
5.325,1.17
5.335,1.16
5.345,1.2225
5.355,1.1775
5.365,1.44
5.375,1.6025
5.385,1.55
5.395,1.485
5.405,1.44
5.415,1.675
5.425,1.595
5.435,1.4975
5.445,1.445
5.455,1.945
5.465,1.7425
5.475000000000001,1.895
5.485,1.6975
5.495,1.4375
5.505,1.3525
5.515,1.325
5.525,1.305
5.535,1.37
5.545,1.8025
5.555,1.92
5.565,1.7075
5.575,1.845
5.585,1.8975
5.595,1.325
5.605,1.515
5.615,1.7425
5.625,1.5825
5.635,1.4425
5.645,1.3625
5.655,1.44
5.665,1.35
5.675,1.3025
5.685,1.24
5.695,1.365
5.705,1.5875
5.715,1.3875
5.725000000000001,1.595
5.735,1.4
5.745,1.4475
5.755,1.2775
5.765,1.3425
5.775,1.37
5.785,1.37
5.795,1.3375
5.805,1.28
5.815,1.405
5.825,1.37
5.835,1.5075
5.845,1.5475
5.855,1.4425
5.865,1.365
5.875,1.345
5.885,1.3675
5.895,1.3275
5.905,1.28
5.915,1.325
5.925,1.4075
5.935,1.3275
5.945,1.53
5.955,1.3175
5.965,1.4675
5.975000000000001,1.5225
5.985,1.36
5.995,1.355
6.005,1.3575
6.015000000000001,1.315
6.025,1.595
6.035,1.6125
6.045,1.4525
6.055,1.5425
6.065,1.505
6.075,1.6
6.085,1.635
6.095,1.5575
6.105,1.665
6.115,1.7325
6.125,1.705
6.135,1.5925
6.145,1.5575
6.155,1.55
6.165,1.47
6.175,1.5075
6.185,1.4625
6.195,1.4775
6.205,1.515
6.215,1.4375
6.225000000000001,1.3975
6.235,1.3575
6.245,1.3275
6.255,1.3175
6.265000000000001,1.59
6.275,1.49
6.285,1.455
6.295,1.5375
6.305,1.5025
6.315,1.405
6.325,1.3575
6.335,1.4
6.345,1.36
6.355,1.3175
6.365,1.285
6.375,1.2875
6.385,1.295
6.395,1.33
6.405,1.2875
6.415,1.285
6.425,1.2425
6.435,1.2775
6.445,1.2575
6.455,1.2225
6.465,1.3675
6.475000000000001,1.3975
6.485,1.3425
6.495,1.2875
6.505,1.315
6.515000000000001,1.28
6.525,1.395
6.535,1.3375
6.545,1.2675
6.555,1.2925
6.565,1.245
6.575,1.2825
6.585,1.205
6.595,1.205
6.605,1.2075
6.615,1.2125
6.625,1.1625
6.635,1.1925
6.645,1.2025
6.655,1.18
6.665,1.175
6.675,1.1675
6.685,1.175
6.695,1.1475
6.705,1.1775
6.715,1.15
6.725000000000001,1.1625
6.735,1.11
6.745,1.1325
6.755,1.1125
6.765000000000001,1.125
6.775,1.115
6.785,1.1475
6.795,1.21
6.805,1.1725
6.815,1.135
6.825,1.12
6.835,1.1125
6.845,1.155
6.855,1.0975
6.865,1.1325
6.875,1.105
6.885,1.115
6.895,1.115
6.905,1.095
6.915,1.115
6.925,1.105
6.935,1.0875
6.945,1.115
6.955,1.125
6.965,1.11
6.975000000000001,1.1175
6.985,1.11
6.995,1.11
